Parameter,Unit,Test configuration,Value
Active cell,,1,Cell 1
RF Channel Number,,1,1
BWchannel,MHz,1,"100: NPRB,c = 66"
SSB configuration,,1,SSB.2 FR2
,,,
,,,
CP length,,1,Normal
DRX,,1,OFF
T1,s,1,5
T2,s,1,20
