Parameter,Unit,Test configuration,Cell 1,
,,,T1,T2
AoA setup,,1,Setup 1 defined in A.3.15.1,
Beam assumption Note 3,,1,Fine,Fine
on CLI-RSSI measurement resource Note 2,dBm/15 kHz,1,-119,-108
on CLI-RSSI measurement resource Note 2,dBm/SCS,1,-110,-99
Io on CLI-RSSI measurement resource,dBm/95.04 MHz,1,-81.01,-70.01
Io on CLI-RSSI measurement resource,dBm/1.08 MHz,1,-100.46,-89.46
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation.",,,,
