Parameter,Config,Unit,Test 1,,Test 2 NOTE 3,
,,,CSI-RS0,CSI-RS1,CSI-RS0,CSI-RS1
Angle of arrival configuration,,,Setup 1 according to A.3.15.1,,Setup 1 according to A.3.15.1,
Assumption for UE beamsNote 4,,,Rough,,Rough,
,1,dBm/15 kHz,-103,,n.a.,
,1,dBm/SSB SCS,-94,,n.a,
,1,dB,10,-2,n.a.,
CSI-RS-RSRPNote1,1,dBm/SCS,-84,-96,As in table B.2.4-2,
IoNote1,1,dBm/95.04 MHz,-57.74,-66.03,SS-RSRP+25.84,
,1,dB,10,-2,n.a.,
"NOTE 1:RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 2:RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 3:No additional noise is added by the test system in Test 2.NOTE 4:Information about types of UE beam is given in clause B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
