,"Test requirement Notes1,2,3"
Cell 1,PRS_RP1 -δ +Gmin ≤ Reported RSRP(dBm) ≤ PRS_RP1 +δ +Gmax
Cell 2,PRS_RP2 -δ +Gmin ≤ Reported RSRP(dBm) ≤ PRS_RP2 +δ +Gmax
"Note 1: PRS_RPn is the equivalent power received by an antenna with 0dBi gain at the centre of the quiet zone configured in the test for the cell n under consideration.Note 2: δ is the RSRP absolute accuracy requirement from table 10.1.24.2.1-2, selected according to the Io used in the test.Note 3: Gmin and Gmax are the minimum and maximum UE gain values from table B.2.1.6.1-1, selected according to the UE power class.",
