Config,Description for serving cell,Description for neighbor cell,
1,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode",
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode","120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode",
3,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode","120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode",
"NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:target NR cell has the same SCS, BW and duplex mode as NR serving cell",,,
