Configuration,TEvaluate_CBD_SSB_CCA (ms)
"non-DRX, DRX cycle ≤ 320 ms","Max(25, Ceil((3 + LCBD)  P)  TSSB)"
DRX cycle > 320 ms,Ceil((3 + LCBD)  P)  TDRX
"NOTE 1:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.NOTE 2:When DRX is not configured, LCBD is the number of CBD-RS SSB occasions not available at the UE during TEvaluate_CBD_SSB_CCA where LCBD ≤ LCBD,max. When DRX is configured, LCBD is the number of DRX cycles in which at least one of the CBD-RS SSB occasions not available at the UE during TEvaluate_CBD_SSB_CCA where LCBD ≤ LCBD,max. The UE, which is configured with DRX, is not required to determine the availability of SSB occasions more frequent than Once per Max(25 ms, P * TSSB) if DRX cycle ≤ 320 ms, Once per P * TDRX if DRX cycle > 320 ms.NOTE 3:LCBD,max=7 for Max(TDRX, TSSB) ≤ 40 assuming TDRX=0 for non-DRX, LCBD,max=5 for 40 < Max(TDRX, TSSB) ≤ 320, LCBD,max=3 for TDRX > 320.NOTE 4If LCBD>LCBD,max, the UE shall assume no new candidate beams are found for this evaluation period.q1",
