Configuration,TEvaluate_out_SSB (ms),TEvaluate_in_SSB (ms)
no DRX,"Max(200, Ceil(10  P  N)  TSSB)","Max(100, Ceil(5  P  N)  TSSB)"
DRX cycle≤320 ms,"Max(200, Ceil(15  P  N)  Max(TDRX,TSSB))","Max(100, Ceil(7.5  P  N)  Max(TDRX,TSSB))"
DRX cycle>320 ms,Ceil(10  P  N)  TDRX,Ceil(5  P  N)  TDRX
NOTE:TSSB is the periodicity of the SSB configured for RLM. TDRX is the DRX cycle length.,,
