Configuration,TEvaluate_BFD_SSB (ms)
no DRX,"Max(50, Ceil(5 ´ P) ´ TSSB)"
DRX cycle ≤ 320 ms,"Max(50, Ceil(7.5 ´ P) ´ Max(TDRX,TSSB))"
DRX cycle > 320 ms,Ceil(5 ´ P) ´ TDRX
NOTE:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.q0,
