Configuration,TEvaluate_BFD_SSB_Relax (ms)
"Max(TDRX, TSSB) ≤ 80 ms","Max(50  K3, Ceil(7.5  K1  P)  Max(TDRX,TSSB))"
"80 ms＜Max(TDRX, TSSB) ≤ 160 ms","Max(50, Ceil(7.5  P)  Max(TDRX,TSSB))"
"Note 1:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length and no longer than 80ms.Note 2: K1 is the relaxation factor. K1 = 2 for 40ms＜Max(TDRX, TSSB) ≤ 80 ms, K1 = 4 for Max(TDRX, TSSB) ≤ 40 msNote 3:K3 is the relaxation factor for the lower bound. K3 = K1, if 1 < K1 ≤ 2; K3 = 1 otherwise.q0",
