,SCS of aggressor cell (kHz),,,
SCS of victim cell (kHz),15,30,60,120
15,12,6,3,2
30,24,12,6,3
60,48,24,12,6
120,96,48,24,12
480,384,192,96,48
960,768,384,192,96
