,NR Slot length (ms),X (slots),Interruption length (slots),
0,1,1,"2 + TSMTC_duration_ATG * Nslotsubframe,μ",
1,0.5,1,"2 + TSMTC_duration_ATG * Nslotsubframe,μ",
"NOTE 1:TSMTC_duration_ATG measured in subframes is the longest SMTC duration among all above active serving cells and the deactivated SCell to be measured;NOTE 2: is as defined in TS 38.211 [6].Nslotsubframe,μ",,,,
