,NR Slot length,Interruption length X1 (slots),,Interruption length Y1 (slots),
,(ms),Sync,Async,Sync,Async
0,1,1,2,1,2
1,0.5,2,3,2,3
2,0.25,5,,4,5
3,0.125,9,,N/A,- N/A
