Carrier frequency range of PCell/PSCell,Lmax,"Maximum number of RLM-RS resources, NRLM"
"FR1, ≤ 3 GHzNote",4,2
"FR1, > 3 GHzNote",8,4
FR2,64,8
"NOTE:For unpaired spectrum operation with Case C - 30 kHz SCS, 3 GHz is replaced by 1.88 GHz, as specified in clause 4.1 in TS 38.213 [3].",,
