Configuration,TEvaluate_BFD_SSB (ms)
no DRX,"Max(50, Ceil(5  P)  TSSB)"
DRX cycle ≤ 320 ms,"Max(50, Ceil(7.5  P)  Max(TDRX,TSSB))"
DRX cycle > 320 ms,Ceil(5  P)  TDRX
"NOTE:TSSB is the periodicity of SSB in the two sets  and . TDRX is the DRX cycle length.q0,0q0,1",
