Configuration,TEvaluate_BFD_SSB_CCA (ms)
,
no DRX,"Max(200, Ceil(12*P* N)*TSSB)"
DRX cycle ≤ 320 ms,"Max(200, Ceil(1.5*10*P* N)*Max(TDRX,TSSB))"
DRX cycle > 320 ms,Ceil(10*P* N)*TDRX
NOTE 1:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.q0,
