Configuration,TEvaluate_BFD_SSB_RedCap (ms)
no DRX,"Max(50, Ceil(10  P)  TSSB)"
DRX cycle ≤ 320 ms,"Max(50, Ceil(15  P)  Max(TDRX,TSSB))"
DRX cycle > 320 ms,Ceil(10  P)  TDRX
NOTE:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.q0,
