Configuration,TEvaluate_BFD_CSI-RS (ms)
no DRX,"Max(50, Ceil((MBFD+L1)  P  PBFD)  Max(TCSI-RS, Tproc))"
DRX cycle ≤ 320 ms,"Max(50, Ceil(1.5 × (MBFD+L1)  P  PBFD)  Max(TDRX, TCSI-RS, Tproc))"
DRX cycle > 320 ms,Ceil((MBFD+L1)  P  PBFD)  TDRX
"NOTE 1:TCSI-RS is the periodicity of CSI-RS resource in the set . TDRX is the DRX cycle length.NOTE 2:If UE indicates ‘full’ or ‘partial’ for timeline-r19 in sbfd-Aware-r19 and the CSI-RS resource for BFD is across 2 DL subbands, Tproc = 8ms; otherwise Tproc = 0.",
