Configuration,TEvaluate_BFD_SSB_Relax (ms)
"Mas(TDRX, TSSB) ≤ 80 ms","Max(50  K4, Ceil(7.5  K2  P  N)  Max(TDRX,TSSB))"
"80 ms＜Max(TDRX, TSSB) ≤ 160 ms","Max(50, Ceil(7.5  P N)  Max(TDRX,TSSB))"
"Note 1:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length and no longer than 80ms.Note 2: K2 is the relaxation factor. K2 = 2.Note 3: K4 is the relaxation factor for the lower bound. K4 = K2, if 1 < K2 ≤ 2; K4 = 1 otherwise.q0",
