Attribute,Value for BLER Configuration #0
DCI payload size,1-0
Number of control OFDM symbols,2
Aggregation level (CCE),4 for FR1-NTN8 for FR2-NTN
Ratio of hypothetical PDCCH RE energy to average SSS RE energy,0 dB
Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,0 dB
Bandwidth (PRBs),24 for FR1-NTN48 for FR2-NTN
Sub-carrier spacing (kHz),SCS of the active DL BWP
DMRS precoder granularity,REG bundle size
REG bundle size,6
CP length,Normal
Mapping from REG to CCE,Distributed
