,SCS of aggressor cell (kHz),,,
SCS of victim cell (kHz),15,30,60,120
15,2,1,1,1
30,4,2,1,1
60,8,4,2,1
120,16,8,4,2
480,64,32,16,8
960,128,64,32,16
