Configuration,TEvaluate_BFD_SSB (ms)
no DRX,"Max(50, Ceil(5  P  N)  TSSB)"
DRX cycle ≤ 320 ms,"Max(50, Ceil(7.5  P  N)  Max(TDRX,TSSB))"
DRX cycle > 320 ms,Ceil(5  P  N)  TDRX
NOTE:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.q0,
