,NR Slot length (ms) of victim cell,Interruption length X1 (slots),Interruption length Y1 (slots),Interruption length Y2 (slots)
0,1,6,7,6
1,0.5,12,13,10
2,0.25,24,25,19
3,0.125,48,49,37
