,SCS of aggressor cell (kHz),,,
SCS of victim cell (kHz),15,30,60,120
15,4,2,1,1
30,8,4,2,1
60,16,8,4,2
120,32,16,8,4
480,128,64,32,16
960,256,128,64,32
