,NR Slot length (ms),Interruption length (slots)
0,1,"1 + TSMTC_duration_ATG * Nslotsubframe,μ"
1,0.5,"2 + TSMTC_duration_ATG * Nslotsubframe,μ"
"NOTE 1:TSMTC_duration_ATG measured in subframes is- the longest SMTC duration among all above active serving cells and the SCell being added when one SCell is added. If SSB configuration (absoluteFrequencySSB) but no SMTC configuration is provided for the SCell being added, the SSB transmission periodicity is assumed to be 5ms and TSMTC_duration_ATG for the SCell being added is x ms, where x = the number of consecutive subframes containing all SSBs in one SSB burst transmitted by the SCell being added. If neither SSB configuration (absoluteFrequencySSB) nor SMTC configuration is provided for the SCell being added, TSMTC_duration_ATG for the SCell being added is 0ms;- the longest SMTC duration among all active serving cells in the same band when one SCell is released.  NOTE 2: is as defined in TS 38.211 [6].Nslotsubframe,μ",,
