Carrier frequency range of PCell,Lmax,"Maximum number of RLM-RS resources, NRLM"
"FR1-NTN, ≤ 3 GHzNote",4,2
"FR1-NTN, > 3 GHzNote",8,4
FR2-NTNNote 2,64,8
"NOTE:For unpaired spectrum operation with Case C - 30 kHz SCS, 3 GHz is replaced by 1.88 GHz, as specified in clause 4.1 in TS 38.213 [3].NOTE 2: NTN bands within this frequency range are regarded as a FR2-1 band when references from other specifications unless otherwise stated.",,
