Configuration,TEvaluate_BFD_SSB (ms)
no DRX,"Max(50, Ceil(5  P  N Note2)  TSSB)"
DRX cycle ≤ 80 ms,"Max(50, Ceil(7.5  P  N Note2)  Max(TDRX,TSSB))"
"Note 1:TSSB is the periodicity of SSB in the set . TDRX is the DRX cycle length.Note 2:scaling factor N=2 when highSpeedMeasFlagFR2-r17 is configured to set1 or scaling factor N=6 when highSpeedMeasFlagFR2-r17 is configured to set2, if UE is not supporting simultaneousReceptionTwoQCL-r18 or when highSpeedDeploymentTypeFR2-r17 is not configured as bidirectional; Scaling factor N=1.5 when highSpeedMeasFlagFR2-r17 is configured to set1 or scaling factor N=4 when highSpeedMeasFlagFR2-r17 is configured to set2, if UE is supporting simultaneousReceptionTwoQCL-r18 and when highSpeedDeploymentTypeFR2-r17 is configured as bidirectional.q0",
