,NR Slot length (ms),Interruption length (slots)
0,1,"1 + TSMTC_duration_ATG * Nslotsubframe,μ"
1,0.5,"1 + TSMTC_duration_ATG * Nslotsubframe,μ"
"NOTE 1:TSMTC_duration_ATG measured in subframes is- the longest SMTC duration among all above active serving cells and the SCell being activated when one SCell is activated. If SSB configuration (absoluteFrequencySSB) but no SMTC configuration is provided for the SCell being activated, the SSB transmission periodicity is assumed to be 5ms and TSMTC_duration_ATG for the SCell being activated is x ms, where x = the number of consecutive subframes containing all SSBs in one SSB burst transmitted by the SCell being activated. If neither SSB configuration (absoluteFrequencySSB) nor SMTC configuration is provided for the SCell being activated, TSMTC_duration_ATG for the SCell being activated is 0ms;- the longest SMTC duration among all active serving cells in the same band when one SCell is deactivated.NOTE 2: is as defined in TS 38.211 [6].Nslotsubframe,μ",,
