,SCS of aggressor cell (kHz),,,
SCS of victim cell (kHz),15,30,60,120
15,1,1,1,1
30,2,1,1,1
60,4,2,1,1
120,8,4,2,1
480,32,16,8,4
960,64,32,16,8
