Configuration,TEvaluate_out_SSB (ms),TEvaluate_in_SSB (ms)
no DRX,Ceil(10  P N)  measCyclePSCell,Ceil(5  P N)  measCyclePSCell
DRX cycle≤ 320 ms,"Ceil(15  P N)  Max(TDRX, measCyclePSCell)","Ceil(7.5  P N)  Max(TDRX, measCyclePSCell)"
DRX cycle> 320 ms,"Ceil(10  P N)  Max(TDRX, measCyclePSCell)","Ceil(5  P N)  Max(TDRX, measCyclePSCell)"
NOTE:TDRX is the DRX cycle length of SCG. measCyclePSCell is the measurement cycle length of the deactivated PSCell.,,
