Configuration,TEvaluate_CBD_CSI-RS (ms),
"non-DRX, DRX cycle ≤ 320 ms","Max(25, Ceil(MCBD  P  N  PCBD  PTRP)  TCSI-RS)",
DRX cycle > 320 ms,Ceil(MCBD  P  N  PCBD  PTRP)  TDRX,
"NOTE:TCSI-RS is the periodicity of CSI-RS resource in the two sets   and . TDRX is the DRX cycle length.q1,0q1,1",,
