Configuration,TEvaluate_BFD_CSI-RS_Redcap (ms)
no DRX,"Max(50, Ceil(MBFD  P  N  PBFD)  TCSI-RS)"
DRX cycle ≤ 320 ms,"Max(50, Ceil(1.5 × MBFD  P  N  PBFD)  Max(TDRX, TCSI-RS))"
DRX cycle > 320 ms,Ceil(MBFD  P  N  PBFD)  TDRX
NOTE: TCSI-RS is the periodicity of CSI-RS resource in the set . TDRX is the DRX cycle lengthq0,
