,NR Slot length (ms),Uplink Tx switching period Note1,
,,35µs,140µs
0,1,2,3
1,0.5,3,6
2,0.25,4,10
NOTE 1:Uplink Tx switching period depends on UE capability uplinkTxSwitchingPeriod.,,,
