,SCS of aggressor cell (kHz),,,
SCS of victim cell (kHz),15,30,60,120
15,8,4,2,1
30,16,8,4,2
60,32,16,8,4
120,64,32,16,8
480,256,128,64,32
960,512,256,128,64
