,Guard period (s),,,,
SCS of victim cell (kHz),0,30,100,140,200
15,0,1,3,4,6
30,,2,6,8,12
60,,4,12,16,23
120,,7,23,32,45
480,,27,87,122,174
960,,53,174,244,348
