,NR Slot length (ms) of victim cell,Interruption length X2 (slots),,Interruption length Y2 (slots)
0,1,1,,1
1,0.5,1,,1
2,0.25,Both aggressor cell and victim cell are on FR2,2,2
,,Either aggressor cell or victim cell is on FR1,3,
3,0.125,Aggressor cell is on FR2,4,4
,,Aggressor cell is on FR1,5,
