DMRS-pattern field in uplink-related DCI format [3],Uplink subslot number,,,,,
,#0,#1,#2,#3,#4,#5
00,1,4,6,1,3,5
01,0,3,5,0,2,4
10,–,3,–,0,2,–
11,–,3,–,–,2,–
