"zeroCorrelationZoneConfig,zeroCorrelationZoneConfigHighSpeed",value,,
,Unrestricted set,Restricted set type A,Restricted set type B
0,0,15,15
1,13,18,18
2,15,22,22
3,18,26,26
4,22,32,32
5,26,38,38
6,32,46,46
7,38,55,55
8,46,68,68
9,59,82,82
10,76,100,100
11,93,128,118
12,119,158,137
13,167,202,-
14,279,237,-
15,419,-,-
