Number of layers,Number of codewords,Codeword-to-layer mapping,
1,1,,
2,1,,
2,2,,
,,,
3,2,,
4,2,,
,,,
41,11,,
NOTE 1: Only used for slot-PUSCH and subslot-PUSCH,,,
