Special subframe configuration,Normal cyclic prefix in downlink,,,Extended cyclic prefix in downlink,,
,DwPTS,UpPTS,,DwPTS,UpPTS,
,,Normal cyclic prefix in uplink,Extended cyclic prefix in uplink,,Normal cyclic prefix in uplink,Extended cyclic prefix in uplink
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,-,-,-
9,,,,-,-,-
10,,,,-,-,-
