Config,Description
1,"NR 30 kHz SSB SCS, 20 MHz bandwidth, TDD duplex mode"
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, HD-FDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations depending on UE capability,
