Configuration,Description
1,"SCell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeSource cell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex modeTarget cell: NR 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"SCell: NR 480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex modeSource cell: NR 480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex modeTarget cell: NR 480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
3,"SCell: NR 960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex modeSource cell: NR 960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex modeTarget cell: NR 960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
