Config,Description
1,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeTarget cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"Source cell: NR 30 kHz SSB SCS, 20 MHz bandwidth, TDD duplex modeTarget cell: NR 30 kHz SSB SCS, 20 MHz bandwidth, TDD duplex mode"
4,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, HD-FDD duplex mode"
,"Target cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, HD-FDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
