Configuration,Description
1,"FDD duplex mode, 15 kHz SSB SCS, 10 MHz bandwidth"
2,"TDD duplex mode, 15 kHz SSB SCS, 10 MHz bandwidth"
3,"TDD duplex mode, 30 kHz SSB SCS, 20 MHz bandwidth"
4,"HD-FDD duplex mode, 15 kHz SSB SCS, 10 MHz bandwidth"
NOTE:The UE is only required to pass in one of the supported test configurations in FR1,
