Configuration,Description of serving cell,Description of target cell
1,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","LTE 10 MHz bandwidth, TDD duplex mode"
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode","LTE 10 MHz bandwidth, TDD duplex mode"
3,"NR 30 kHz SSB SCS, 20 MHz bandwidth, TDD duplex mode","LTE 10 MHz bandwidth, TDD duplex mode"
4,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode","LTE 10 MHz bandwidth, FDD duplex mode"
5,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode","LTE 10 MHz bandwidth, FDD duplex mode"
6,"NR 30 kHz SSB SCS, 20 MHz bandwidth, TDD duplex mode","LTE 10 MHz bandwidth, FDD duplex mode"
7,"NR 15 kHz SSB SCS, 10 MHz bandwidth, HD-FDD duplex mode","LTE 10 MHz bandwidth, TDD duplex mode"
8,"NR 15 kHz SSB SCS, 10 MHz bandwidth, HD-FDD duplex mode","LTE 10 MHz bandwidth, FDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations.,,
