Configuration,Description
1,"PCell: 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget SCell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
2,"PCell: 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeTarget SCell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
3,"PCell: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget SCell: 120 kHz SSB SCS, 100 MHz bandwidth, TDD duplex mode"
4,"PCell: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget SCell: 480 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
5,"PCell: 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget SCell: 960 kHz SSB SCS, 400 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to pass in one of the supported test configurations,
