document	status	pages	pdf
TS_38.322_38322-j20	converted_ok	35	3GPP_Rel19/processed/TS_38.322_38322-j20/source.pdf
TS_38.323_38323-j10	converted_ok	55	3GPP_Rel19/processed/TS_38.323_38323-j10/source.pdf
TS_38.331_38331-j20	converted_ok	1902	3GPP_Rel19/processed/TS_38.331_38331-j20/source.pdf
