"SAIMSB, LSB",VC-SAISL,"Number of PDCCH monitoring occasions in which DCI format 3_0 scheduling PSSCH transmissions with corresponding PSFCH reception occasions is present, denoted as  and YY≥1"
"0,0",1,Y-1mod4+1=1
"0,1",2,Y-1mod4+1=2
"1,0",3,Y-1mod4+1=3
"1,1",4,Y-1mod4+1=4
