kSSB,16×controlResourceSetZero +searchSpaceZero,NGSCNOffset
24,"0, 1, …, 255","1, 2, …, 256"
25,"0, 1, …, 255","257, 258, …, 512"
26,"0, 1, …, 255","513, 514, …., 768"
27,"0, 1, …, 255","-1, -2, …, -256"
28,"0, 1, …, 255","-257, -258, …, -512"
29,"0, 1, …, 255","-513, -514, …., -768"
30,"0, 1, …, 255","Reserved, Reserved, …, Reserved"
