"DAIMSB, LSB",or  VC-DAIDLVT-DAIDL,"Number of {serving cell, PDCCH monitoring occasion}-pair(s) in which PDSCH transmission(s) associated with PDCCH or PDCCH generating a HARQ-ACK information bit without scheduling a PDSCH reception or providing TCI state update is present, or number of PDCCH monitoring occasions associated with PDCCH for scheduling PDSCH receptions on more than one cells, denoted as  and YY≥1"
"0,0",1,Y-1modTD+1=1
"0,1",2,Y-1modTD+1=2
"1,0",3,Y-1modTD+1=3
"1,1",4,Y-1modTD+1=4
