TPC Command Field,"Accumulated  or  [dB]δPUSCH,b,f,cδSRS,b,f,c","Absolute  or  [dB] δPUSCH,b,f,cδSRS,b,f,c"
0,-1,-4
1,0,-1
2,1,1
3,3,4
