Index,SS/PBCH block and CORESET multiplexing pattern,Number of RBs NRBCORESET,Number of Symbols NsymbCORESET,Offset (RBs)
0,1,24,2,0
1,1,24,2,4
2,1,48,1,0
3,1,48,1,14
4,1,48,1,28
5,1,48,2,0
6,1,48,2,14
7,1,48,2,28
8,1,96,1,0
9,1,96,1,76
10,1,96,2,0
11,1,96,2,76
12,3,24,2,-20 if -21 if kSSB=0kSSB>0
13,3,24,2,24
14,3,48,2,-20 if -21 if kSSB=0kSSB>0
15,3,48,2,48
