Index,SS/PBCH block and CORESET multiplexing pattern,Number of RBs NRBCORESET,Number of Symbols  NsymbCORESET,Offset (RBs)
0,1,24,2,0
1,1,24,2,4
2,1,48,1,14
3,1,48,2,14
4,3,24,2,-20 if  -21 if kSSB=0kSSB>0
5,3,24,2,24
6,3,48,2,-20 if  -21 if kSSB=0kSSB>0
7,3,48,2,48
8,Reserved,,,
9,Reserved,,,
10,Reserved,,,
11,Reserved,,,
12,Reserved,,,
13,Reserved,,,
14,Reserved,,,
15,Reserved,,,
