Index,PUCCH format,First symbol,Number of symbols,PRB offset RBBWPoffset,Set of initial CS indexes
0,0,12,2,0,"{0, 3}"
1,0,12,2,0,"{0, 4, 8}"
2,0,12,2,3,"{0, 4, 8}"
3,1,10,4,0,"{0, 6}"
4,1,10,4,0,"{0, 3, 6, 9}"
5,1,10,4,2,"{0, 3, 6, 9}"
6,1,10,4,4,"{0, 3, 6, 9}"
7,1,4,10,0,"{0, 6}"
8,1,4,10,0,"{0, 3, 6, 9}"
9,1,4,10,2,"{0, 3, 6, 9}"
10,1,4,10,4,"{0, 3, 6, 9}"
11,1,0,14,0,"{0, 6}"
12,1,0,14,0,"{0, 3, 6, 9}"
13,1,0,14,2,"{0, 3, 6, 9}"
14,1,0,14,4,"{0, 3, 6, 9}"
15,1,0,14,NBWPsize4,"{0, 3, 6, 9}"
