,"Maximum number  of monitored PDCCH candidates in a group of  slots per combination  and per serving cell MPDCCHmax,Xs,μXsXs,Ys",,,
μ,"(4, 1)","(4, 2)","(8, 1)","(8, 4)"
5,20,20,-,-
6,10,10,20,20
