kSSB,16×controlResourceSetZero +searchSpaceZero,NGSCNOffset
12,"0, 1, …, 255","1, 2, …, 256"
13,"0, 1, …, 255","-1, -2, …, -256"
14,"0, 1, …, 255","Reserved, Reserved, …, Reserved"
