,"Maximum number of non-overlapped CCEs in a group of  slots per combination  and per serving cell XsXs,YsCPDCCHmax,Xs,μ",,,
μ,"(4, 1)","(4, 2)","(8, 1)","(8, 4)"
5,32,32,-,-
6,16,16,32,32
