Value,Indication
0,No indication of availability for soft symbols or soft RB sets in an RB set group
1,DL soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for UL and Flexible soft symbols or soft RB sets in an RB set group
2,UL soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for DL and Flexible soft symbols or soft RB sets in an RB set group
3,DL and UL soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for Flexible soft symbols or soft RB sets in an RB set group
4,Flexible soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for DL and UL soft symbols or soft RB sets in an RB set group
5,DL and Flexible soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for UL soft symbols or soft RB sets in an RB set group
6,UL and Flexible soft symbols or soft RB sets in an RB set group are indicated available No indication of availability for DL soft symbols or soft RB sets in an RB set group
7,"DL, UL, and Flexible soft symbols or soft RB sets in an RB set group are indicated available"
