Index,SS/PBCH block and CORESET multiplexing pattern,Number of RBs NRBCORESET,Number of Symbols  NsymbCORESET,Offset (RBs)
0,1,48,1,0
1,1,48,1,8
2,1,48,2,0
3,1,48,2,8
4,1,48,3,0
5,1,48,3,8
6,1,96,1,28
7,1,96,2,28
8,2,48,1,-41 if  -42 if  kSSB=0kSSB>0
9,2,48,1,49
10,2,96,1,-41 if -42 if kSSB=0kSSB>0
11,2,96,1,97
12,Reserved,,,
13,Reserved,,,
14,Reserved,,,
15,Reserved,,,
