,DCI format 0_0/0_1/0_2,DCI format 1_0/1_1/1_2/4_1/4_2
HARQ process number(if present),set to all '0's,set to all '0's
Redundancy version(if present),set to all '0's,set to all '0's
Modulation and coding scheme,set to all '1's,set to all '1's
Frequency domain resource assignment,"set to all '0's for FDRA Type 2 with set to all '1's, otherwiseμ=1",set to all '0's for FDRA Type 0 or for dynamicSwitchset to all '1's for FDRA Type 1
