"DAIMSB, LSB",VT-DAIUL,"Number of {serving cell, PDCCH monitoring occasion}-pair(s) in which PDSCH transmission(s) associated with PDCCH or PDCCH indicating SPS PDSCH release or providing TCI state update or DCI format 1_1 or DCI format 1_3 indicating SCell dormancy without scheduling a PDSCH reception is present, or number of PDCCH monitoring occasions associated with PDCCH for scheduling PDSCH receptions on more than one cells, denoted as  and XX≥1"
"0,0",1,X-1mod4+1=1
"0,1",2,X-1mod4+1=2
"1,0",3,X-1mod4+1=3
"1,1",4,X-1mod4+1=4
