Mask Index,Association periods (APs) per  association pattern periods (APPs)Kmask
0,First half of APs in  APPsKmask
1,First quarter of APs in  APPsKmask
2,First eighth of APs in  APPsKmask
3,First sixteenth of APs in  APPsKmask
