NCSPSFCH,m0,,,,,
,Cyclic Shift Pair Index 0,Cyclic Shift Pair Index 1,Cyclic Shift Pair Index 2,Cyclic Shift Pair Index 3,Cyclic Shift Pair Index 4,Cyclic Shift Pair Index 5
1,0,-,-,-,-,-
2,0,3,-,-,-,-
3,0,2,4,-,-,-
6,0,1,2,3,4,5
