Index,O,Number of search space sets per slot,M,First symbol index
0,0,1,1,0
1,0,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
2,2,1,1,0
3,2,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
4,5,1,1,0
5,5,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
6,7,1,1,0
7,7,2,1/2,"{0, if  is even}, {, if  is odd}iNsymbCORESETi"
8,0,1,2,0
9,5,1,2,0
10,0,1,1,1
11,0,1,1,2
12,2,1,1,1
13,2,1,1,2
14,5,1,1,1
15,5,1,1,2
