"SAIMSB, LSB",VT-SAIUL,"Number of PDCCH monitoring occasions in which DCI format 3_0 scheduling PSSCH transmissions with corresponding PSFCH reception occasions is present, denoted as  and XX≥1"
"0,0",1,X-1mod4+1=1
"0,1",2,X-1mod4+1=2
"1,0",3,X-1mod4+1=3
"1,1",4,X-1mod4+1=4
